V2_mean	Isense_mean
510	509
85	1023	509
86	1023	509
86	1023	510
86	1023	509
86	1023	509
86	1023	510
86	1023	509
86	1023	509
86	1023	510
86	1023	509
86	1023	510
87	1023	509
87	1023	509
87	1023	509
87	1023	509
87	1023	509
87	1023	508
87	1023	510
87	1023	509
87	1023	509
87	1023	510
88	1023	509
88	1023	509
88	1023	509
88	1023	510
88	1023	510
88	1023	509
88	1023	509
88	1023	509
88	1023	509
88	1023	509
89	1023	509
89	1023	509
89	1023	510
89	1023	509
89	1023	509
89	1023	509
89	1023	509
89	1023	510
89	1023	509
89	1023	509
90	1023	508
90	1023	509
90	1023	509
90	1023	509
90	1023	509
90	1023	510
90	1023	509
90	1023	508
90	1023	509
90	1023	509
91	1023	509
91	1023	509
91	1023	509
91	1023	509
91	1023	508
91	1023	510
91	1023	509
91	1023	509
91	1023	509
91	1023	509
92	1023	509
92	1023	509
92	1023	510
92	1023	509
92	1023	509
92	1023	509
92	1023	509
92	1023	509
92	1023	510
92	1023	510
93	1023	509
93	1023	509
93	1023	509
93	1023	509
93	1023	509
93	1023	509
93	1023	509
93	1023	509
93	1023	509
93	1023	509
94	1023	509
94	1023	509
94	1023	509
94	1023	509
94	1023	509
94	1023	509
94	1023	509
94	1023	508
94	1023	509
94	1023	509
95	1023	509
95	1023	509
95	1023	509
95	1023	510
95	1023	509
95	1023	508
95	1023	509
95	1023	509
95	1023	509
95	1023	509
96	1023	509
96	1023	509
96	1023	508
96	1023	509
96	1023	509
96	1023	509
96	1023	508
96	1023	509
96	1023	510
96	1023	510
97	1023	509
97	1023	509
97	1023	509
97	1023	509
97	1023	510
97	1023	509
97	1023	508
97	1023	509
97	1023	510
97	1023	510
98	1023	509
98	1023	509
98	1023	509
98	1023	509
98	1023	509
98	1023	509
98	1023	509
98	1023	509
98	1023	509
98	1023	509
99	1023	509
99	1023	509
99	1023	509
99	1023	510
99	1023	509
99	1023	510
99	1023	508
99	1023	509
99	1023	509
99	1023	509
100	1023	508
100	1023	509
100	1023	509
100	1023	509
100	1023	509
100	1023	509
100	1023	509
100	1023	509
100	1023	510
100	1023	509
101	1023	509
101	1023	508
101	1023	509
101	1023	509
101	1023	509
101	1023	509
101	1023	509
101	1023	509
101	1023	509
101	1023	509
102	1023	509
102	1023	510
102	1023	509
102	1023	509
102	1023	510
102	1023	509
102	1023	509
102	1023	509
102	1023	509
102	1023	509
103	1023	509
103	1023	509
103	1023	509
103	1023	509
103	1023	509
103	1023	510
103	1023	509
103	1023	509
103	1023	509
103	1023	510
104	1023	509
104	1023	509
104	1023	509
104	1023	509
104	1023	509
104	1023	509
104	1023	509
104	1023	509
104	1023	509
104	1023	509
105	1023	508
105	1023	509
105	1023	508
105	1023	509
105	1023	510
105	1023	509
105	1023	508
105	1023	509
105	1023	509
105	1023	509
106	1023	509
106	1023	509
106	1023	510
106	1023	509
106	1023	509
106	1023	508
106	1023	510
106	1023	510
106	1023	510
106	1023	508
107	1023	509
107	1023	509
107	1023	510
107	1023	509
107	1023	509
107	1023	509
107	1023	509
107	1023	509
107	1023	509
107	1023	509
108	1023	509
108	1023	509
108	1023	509
108	1023	510
108	1023	509
108	1023	509
108	1023	509
108	1023	509
108	1023	509
108	1023	509
109	1023	510
109	1023	509
109	1023	509
109	1023	509
109	1023	509
109	1023	509
109	1023	509
109	1023	509
109	1023	509
109	1023	510
110	1023	510
110	1023	509
110	1023	509
110	1023	509
110	1023	509
110	1023	509
110	1023	509
110	1023	509
110	1023	510
110	1023	508
111	1023	509
111	1023	509
111	1023	509
111	1023	509
111	1023	509
111	1023	509
111	1023	509
111	1023	510
111	1023	510
111	1023	509
112	1023	509
112	1023	509
112	1023	509
112	1023	509
112	1023	509
112	1023	509
112	1023	509
112	1023	509
112	1023	508
112	1023	509
113	1023	509
113	1023	510
113	1023	510
113	1023	510
113	1023	509
113	1023	509
113	1023	509
113	1023	509
113	1023	509
113	1023	510
114	1023	508
114	1023	509
114	1023	509
114	1023	509
114	1023	509
114	1023	509
114	1023	509
114	1023	509
114	1023	509
114	1023	509
115	1023	510
115	1023	510
115	1023	509
115	1023	509
115	1023	509
115	1023	509
115	1023	508
115	1023	509
115	1023	509
115	1023	509
116	1023	509
116	1023	509
116	1023	509
116	1023	509
116	1023	509
116	1023	509
116	1023	508
116	1023	510
116	1023	510
116	1023	509
117	1023	509
117	1023	509
117	1023	510
117	1023	509
117	1023	509
117	1023	509
117	1023	509
117	1023	508
117	1023	509
117	1023	509
118	1023	509
118	1023	509
118	1023	509
118	1023	509
118	1023	509
118	1023	509
118	1023	509
118	1023	509
118	1023	509
118	1023	509
119	1023	509
119	1023	509
119	1023	509
119	1023	509
119	1023	509
119	1023	509
119	1023	509
119	1023	509
119	1023	509
119	1023	509
120	1023	509
120	1023	510
120	1023	509
120	1023	509
120	1023	508
120	1023	509
120	1023	509
120	1023	509
120	1023	509
120	1023	509
121	1023	509
121	1023	509
121	1023	509
121	1023	509
121	1023	509
121	1023	509
121	1023	509
121	1023	510
121	1023	509
121	1023	509
122	1023	509
122	1023	509
122	1023	509
122	1023	509
122	1023	509
122	1023	509
122	1023	509
122	1023	509
122	1023	509
122	1023	510
123	1023	509
123	1023	509
123	1023	509
123	1023	509
123	1023	509
123	1023	510
123	1023	509
123	1023	508
123	1023	509
123	1023	509
124	1023	509
124	1023	509
124	1023	509
124	1023	509
124	1023	510
124	1023	510
124	1023	508
124	1023	509
124	1023	509
124	1023	509
125	1023	510
125	1023	509
125	1023	509
125	1023	509
125	1023	509
125	1023	509
125	1023	509
125	1023	509
125	1023	509
125	1023	508
126	1023	509
126	1023	509
126	1023	510
126	1023	508
126	1023	509
126	1023	509
126	1023	509
126	1023	509
126	1023	509
126	1023	509
127	1023	509
127	1023	510
127	1023	509
127	1023	508
127	1023	509
127	1023	510
127	1023	509
127	1023	509
127	1023	508
127	1023	510
128	1023	509
128	1023	510
128	1023	509
128	1023	509
128	1023	509
128	1023	510
128	1023	509
128	1023	510
128	1023	510
128	1023	509
129	1023	509
129	1023	509
129	1023	508
129	1023	509
129	1023	509
129	1023	509
129	1023	509
129	1023	508
129	1023	508
129	1023	508
130	1023	509
130	1023	509
130	1023	508
130	1023	509
130	1023	509
130	1023	509
130	1023	508
130	1023	508
130	1023	508
130	1023	509
131	1023	509
131	1023	509
131	1023	509
131	1023	509
131	1023	508
131	1023	509
131	1023	509
131	1023	509
131	1023	508
131	1023	508
132	1023	509
132	1023	508
132	1023	509
132	1023	508
132	1023	508
132	1023	508
132	1023	509
132	1023	508
132	1023	508
132	1023	508
133	1023	509
133	1023	509
133	1023	509
133	1023	509
133	1023	509
133	1023	508
133	1023	509
133	1023	508
133	1023	508
133	1023	509
134	1023	508
134	1023	508
134	1023	508
134	1023	508
134	1023	508
134	1023	508
134	1023	507
134	1023	508
134	1023	508
134	1023	509
135	1023	508
135	1023	507
135	1023	507
135	1023	507
135	1023	507
135	1023	507
135	1023	508
135	1023	507
135	1023	507
135	1023	507
136	1023	507
136	1023	506
136	1023	506
136	1023	506
136	1023	506
136	1023	506
136	1023	506
136	1023	506
136	1023	506
136	1023	506
137	1023	506
137	1023	507
137	1023	506
137	1023	506
137	1023	505
137	1023	506
137	1023	506
137	1023	505
137	1023	505
137	1023	505
138	1023	506
138	1023	506
138	1023	506
138	1023	505
138	1023	505
138	1023	506
138	1023	506
138	1023	506
138	1023	506
138	1023	506
139	1023	505
139	1023	505
139	1023	505
139	1023	506
139	1023	505
139	1023	506
139	1023	506
139	1023	506
139	1023	506
139	1023	506
140	1023	505
140	1023	505
140	1023	506
140	1023	505
140	1023	505
140	1023	504
140	1023	505
140	1023	505
140	1023	505
140	1023	504
141	1023	504
141	1023	507
141	1023	507
141	1023	507
141	1023	507
141	1023	507
141	1023	507
141	1023	508
141	1023	508
141	1023	508
142	1023	507
142	1023	505
142	1023	505
142	1023	504
142	1023	505
142	1023	504
142	1023	505
142	1023	503
142	1023	505
142	1023	504
143	1023	504
143	1023	503
143	1023	504
143	1023	504
143	1023	504
143	1023	504
143	1023	503
143	1023	504
143	1023	503
143	1023	504
144	1023	504
144	1023	504
144	1023	503
144	1023	503
144	1023	503
144	1023	503
144	1023	503
144	1023	503
144	1023	503
144	1023	503
145	1023	503
145	1023	503
145	1023	504
145	1023	503
145	1023	502
145	1023	503
145	1023	503
145	1023	503
145	1023	503
145	1023	503
146	1023	503
146	1023	502
146	1023	502
146	1023	503
146	1023	502
146	1023	502
146	1023	502
146	1023	502
146	1023	502
146	1023	502
147	1023	502
147	1023	502
147	1023	501
147	1023	502
147	1023	502
147	1023	502
147	1023	502
147	1023	501
147	1023	501
147	1023	502
148	1023	502
148	1023	501
148	1023	501
148	1023	501
148	1023	502
148	1023	501
148	1023	502
148	1023	500
148	1023	501
148	1023	501
149	1023	501
149	1023	501
149	1023	501
149	1023	501
149	1023	500
149	1023	501
149	1023	500
149	1023	500
149	1023	500
149	1023	501
150	1023	500
150	1023	501
150	1023	500
150	1023	500
150	1023	500
150	1023	500
150	1023	500
150	1023	500
150	1023	500
150	1023	500
151	1023	500
151	1023	500
151	1023	499
151	1023	499
151	1023	500
151	1023	499
151	1023	500
151	1023	499
151	1023	499
151	1023	499
152	1023	500
152	1023	499
152	1023	499
152	1023	499
152	1023	499
152	1023	499
152	1023	499
